Spine #,Title,Director,Year,DVD,Blu‑ray,Blu-Ray/DVD Combo,4K UHD+Blu-ray Combo,Collectors Sets,On Criterion Channel
1,Grand Illusion,Jean Renoir,1937,Out Of Print,,,,['Essential Art House: 50 Years of Janus Films (Out of Print)'],True
2,Seven Samurai,Akira Kurosawa,1954,$31.96,$39.96,,,"['AK 100: 25 Films by Kurosawa (Out of Print)', 'Essential Art House: 50 Years of Janus Films (Out of Print)']",True
3,The Lady Vanishes,Alfred Hitchcock,1938,$31.96,$31.96,,,['Essential Art House: 50 Years of Janus Films (Out of Print)'],True
4,Amarcord,Federico Fellini,1973,$23.96,$31.96,,,['Essential Fellini (Available)'],True
5,The 400 Blows,François Truffaut,1959,$23.96,$31.96,,,"['The Adventures of Antoine Doinel (Out of Print)', 'Essential Art House: 50 Years of Janus Films (Out of Print)']",True
6,Beauty and the Beast,Jean Cocteau,1946,$31.96,$31.96,,,['Essential Art House: 50 Years of Janus Films (Out of Print)'],True
7,A Night to Remember,Roy Ward Baker,1958,$23.96,$31.96,,,[],True
8,The Killer,John Woo,1989,Out Of Print,,,,[],False
9,Hard Boiled,John Woo,1992,Out Of Print,,,,[],False
10,Walkabout,Nicolas Roeg,1971,$31.96,$31.96,,$39.96,[],True
11,The Seventh Seal,Ingmar Bergman,1957,$23.96,$31.96,,$39.96,"['Ingmar Bergman’s Cinema (Available)', 'Essential Art House: 50 Years of Janus Films (Out of Print)']",True
12,This Is Spinal Tap,Rob Reiner,1984,Out Of Print,,,,[],False
13,The Silence of the Lambs,Jonathan Demme,1991,$23.96,$31.96,,,[],False
14,Samurai I: Musashi Miyamoto,Hiroshi Inagaki,1954,,,,,"['The Samurai Trilogy (Available)', 'The Samurai Trilogy (Available)']",True
15,Samurai II: Duel at Ichijoji Temple,Hiroshi Inagaki,1955,,,,,"['The Samurai Trilogy (Available)', 'The Samurai Trilogy (Available)']",True
16,Samurai III: Duel at Ganryu Island,Hiroshi Inagaki,1956,,,,,"['The Samurai Trilogy (Available)', 'The Samurai Trilogy (Available)']",True
17,"Salò, or The 120 Days of Sodom",Pier Paolo Pasolini,1976,$23.96,$31.96,,,[],False
18,The Naked Kiss,Samuel Fuller,1964,$23.96,$31.96,,,[],True
19,Shock Corridor,Samuel Fuller,1963,$23.96,$31.96,,,[],True
20,Sid & Nancy,Alex Cox,1986,$23.96,$31.96,,,[],False
21,Dead Ringers,David Cronenberg,1988,Out Of Print,,,,[],False
22,Summertime,David Lean,1955,$23.96,$31.96,,,['Essential Art House: 50 Years of Janus Films (Out of Print)'],True
23,RoboCop,Paul Verhoeven,1987,Out Of Print,,,,[],False
24,High and Low,Akira Kurosawa,1963,$31.96,$31.96,,,['AK 100: 25 Films by Kurosawa (Out of Print)'],True
25,Alphaville,Jean-Luc Godard,1965,Out Of Print,,,,[],False
26,The Long Good Friday,John Mackenzie,1980,Out Of Print,,,,[],True
27,Flesh for Frankenstein,Paul Morrissey,1973,Out Of Print,,,,[],False
28,Blood for Dracula,Paul Morrissey,1974,Out Of Print,,,,[],False
29,Picnic at Hanging Rock,Peter Weir,1975,$23.96,$31.96,,,[],True
30,M,Fritz Lang,1931,$23.96,$31.96,,,['Essential Art House: 50 Years of Janus Films (Out of Print)'],True
31,Great Expectations,David Lean,1946,$31.96,,,,[],True
32,Oliver Twist,David Lean,1948,$31.96,,,,[],True
33,Nanook of the North,Robert Flaherty,1922,Out Of Print,,,,[],False
34,Andrei Rublev,Andrei Tarkovsky,1966,$31.96,$39.96,,,[],True
35,Diabolique,Henri-Georges Clouzot,1955,$23.96,$31.96,,,[],True
36,The Wages of Fear,Henri-Georges Clouzot,1953,$31.96,$31.96,,,['Essential Art House: 50 Years of Janus Films (Out of Print)'],True
37,Time Bandits,Terry Gilliam,1981,$23.96,$31.96,,$39.96,[],True
38,Branded to Kill,Seijun Suzuki,1967,$23.96,$31.96,,$39.96,[],True
39,Tokyo Drifter,Seijun Suzuki,1966,$23.96,$31.96,,,[],True
40,Armageddon,Michael Bay,1998,Out Of Print,,,,[],False
41,Henry V,Laurence Olivier,1944,$31.96,,,,['Olivier’s Shakespeare (Out of Print)'],True
42,Fishing with John,John Lurie,1992,$23.96,,,,[],True
43,Lord of the Flies,Peter Brook,1963,$23.96,$31.96,,,[],True
44,The Red Shoes,Michael Powell and Emeric Pressburger,1948,$31.96,$31.96,,$39.96,[],True
45,Taste of Cherry,Abbas Kiarostami,1997,,$31.96,,,[],True
46,The Most Dangerous Game,Ernest B. Schoedsack…,1932,$19.96,,,,[],True
47,Insomnia,Erik Skjoldbjærg,1997,$19.96,$31.96,,,[],True
48,Black Orpheus,Marcel Camus,1959,$23.96,$31.96,,,['Essential Art House: 50 Years of Janus Films (Out of Print)'],True
49,Nights of Cabiria,Federico Fellini,1957,Out Of Print,,,,['Essential Fellini (Available)'],False
50,And the Ship Sails On,Federico Fellini,1983,$31.96,,,,['Essential Fellini (Available)'],True
51,Brazil,Terry Gilliam,1985,$23.96,$39.96,,,[],False
52,Yojimbo,Akira Kurosawa,1961,,$31.96,,,"['Yojimbo/Sanjuro Box Set (Available)', 'AK 100: 25 Films by Kurosawa (Out of Print)']",True
53,Sanjuro,Akira Kurosawa,1962,$31.96,$31.96,,,"['Yojimbo/Sanjuro Box Set (Available)', 'AK 100: 25 Films by Kurosawa (Out of Print)']",True
54,For All Mankind,Al Reinert,1989,$23.96,$31.96,,$39.96,[],True
